102900,20,22,16,14,25,15,14,16,16,12,8,8,12,17,12,19,18,17,14,10,12,10,17,12,11,11
103000,13,13,18,14,24,19,13,30,16,22,18,18,19,20,21,20,17,19,17,17,17,15,22,20,16,11
103100,24,25,25,32,22,21,35,32,23,29,22,26,25,28,24,27,33,31,21,18,24,16,34,20,22,11
103200,39,34,34,27,43,28,34,41,40,42,36,37,38,40,35,37,35,37,37,30,33,32,46,46,38,11
103300,39,46,51,44,53,46,59,41,54,37,47,40,41,46,39,45,48,43,49,46,42,38,50,47,37,11
103400,64,61,62,56,49,70,66,81,85,69,60,60,55,65,72,66,60,57,67,66,53,73,59,77,64,11
100200,38,42,48,43,52,40,45,35,45,36,47,34,36,45,44,42,59,43,50,45,48,44,50,52,55,12
100300,40,50,47,46,54,40,39,46,35,56,54,52,34,48,46,44,57,45,53,40,47,49,50,40,51,12
100400,53,51,57,40,59,41,53,52,49,47,40,51,51,48,56,61,42,59,56,44,45,56,45,47,52,12
100500,44,50,53,31,28,34,54,50,41,48,41,38,44,55,64,69,56,69,59,45,42,39,49,54,41,12
100600,43,47,31,38,39,40,39,56,52,39,47,36,28,38,50,52,49,47,48,44,50,50,43,50,40,12
100700,31,59,43,53,52,45,43,52,48,36,55,50,50,49,54,47,51,37,40,59,49,39,47,51,34,12
100800,61,58,33,57,43,45,54,55,49,42,55,29,37,39,52,34,49,45,45,57,53,39,55,67,42,12
100900,43,48,37,56,40,51,52,49,39,34,35,48,53,42,55,44,51,33,34,35,49,50,57,41,47,12
101000,47,46,43,46,52,49,57,65,58,48,46,46,41,41,47,32,59,45,52,47,71,52,48,58,46,12
101100,46,54,52,41,29,37,51,35,33,38,31,42,32,43,45,52,57,39,43,40,53,53,42,50,52,12
101200,41,55,57,46,55,51,44,52,52,46,50,40,40,45,39,56,54,43,50,49,59,64,40,45,34,12
101300,47,49,56,44,53,54,46,52,37,54,54,48,41,46,48,63,42,35,50,51,65,42,59,55,54,12
101400,48,50,44,41,40,47,37,49,44,54,48,47,48,57,53,55,29,42,43,34,65,44,35,35,47,12
101500,49,49,40,43,33,49,40,56,44,54,41,47,36,53,54,55,40,38,42,38,49,54,34,34,40,12
101600,43,46,55,48,39,41,56,49,51,54,43,49,45,64,53,37,36,40,32,42,44,56,47,42,52,12
101700,45,40,45,58,41,45,46,53,55,58,59,53,37,49,43,28,37,53,56,33,52,53,40,39,42,12
101800,44,44,41,47,48,49,43,55,60,51,52,32,34,34,51,61,71,44,55,44,70,41,39,51,45,12
101900,37,62,33,60,39,42,41,58,57,70,55,39,40,70,51,43,46,52,56,44,64,56,59,46,38,12
102000,31,45,40,46,45,40,41,55,61,41,67,44,46,53,51,46,33,46,48,53,58,47,52,55,45,12
102100,39,45,39,30,46,50,39,45,53,35,59,42,38,35,29,41,42,50,55,43,47,44,43,47,43,12
102200,52,56,42,35,69,52,45,56,62,55,49,66,41,53,54,43,58,39,31,36,42,34,48,54,44,12
